"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
21.600,2.52479E+1,1.65466E-4,-4.606,0.675,5.594,-5.78337E-2,0.008,0.070
21.700,2.53944E+1,1.80096E-4,-4.488,1.435,6.571,-5.63543E-2,0.018,0.083
21.800,2.56932E+1,1.93806E-4,-4.321,2.126,6.318,-5.42635E-2,0.027,0.079
21.900,2.62121E+1,1.92242E-4,-4.031,2.694,5.393,-5.06144E-2,0.034,0.068
22.000,2.65017E+1,2.01168E-4,-3.787,3.207,3.844,-4.75570E-2,0.040,0.048
22.100,2.68365E+1,2.27024E-4,-3.405,3.589,0.423,-4.27638E-2,0.045,0.005
22.200,2.68909E+1,2.32729E-4,-3.022,3.537,-4.721,-3.79509E-2,0.044,-0.059
22.300,2.69068E+1,2.44139E-4,-2.642,2.618,-9.045,-3.31775E-2,0.033,-0.114
22.400,2.67478E+1,2.43034E-4,-2.428,1.346,-9.673,-3.04949E-2,0.017,-0.121
22.500,2.67662E+1,2.37329E-4,-2.428,0.353,-6.610,-3.04949E-2,0.004,-0.083
22.600,2.68005E+1,2.31809E-4,-2.428,-0.003,-2.827,-3.04949E-2,-3.287E-5,-0.036
22.700,2.68449E+1,2.38250E-4,-2.430,-2.220E-15,-0.545,-3.05146E-2,0.000,-0.007
22.800,2.67068E+1,2.44323E-4,-2.428,0.003,1.309,-3.04949E-2,3.287E-5,0.016
22.900,2.67018E+1,2.33465E-4,-2.428,0.021,4.791,-3.04949E-2,2.630E-4,0.060
23.000,2.67570E+1,2.35397E-4,-2.428,0.762,8.622,-3.04949E-2,0.010,0.108
23.100,2.67930E+1,2.45979E-4,-2.417,2.115,9.320,-3.03568E-2,0.027,0.117
23.200,2.63795E+1,2.44415E-4,-1.982,3.081,5.834,-2.48930E-2,0.039,0.073
23.300,2.61887E+1,2.50212E-4,-1.605,3.293,1.422,-2.01590E-2,0.041,0.018
23.400,2.60431E+1,2.42850E-4,-1.392,3.084,-1.793,-1.74764E-2,0.039,-0.023
23.500,2.57752E+1,2.46991E-4,-1.032,2.966,-4.760,-1.29593E-2,0.037,-0.060
23.600,2.55266E+1,2.37053E-4,-0.705,2.333,-7.566,-8.85653E-3,0.029,-0.095
23.700,2.53500E+1,2.41746E-4,-0.512,1.189,-8.295,-6.43035E-3,0.015,-0.104
23.800,2.54329E+1,2.44231E-4,-0.512,0.322,-5.869,-6.43035E-3,0.004,-0.074
23.900,2.55141E+1,2.37698E-4,-0.512,0.000,-2.518,-6.43035E-3,0.000,-0.032
24.000,2.54647E+1,2.40458E-4,-0.512,0.000,0.497,-6.43035E-3,0.000,0.006
24.100,2.54036E+1,2.35949E-4,-0.512,0.000,4.093,-6.43035E-3,0.000,0.051
24.200,2.54321E+1,2.43126E-4,-0.512,0.620,7.570,-6.43035E-3,0.008,0.095
24.300,2.54689E+1,2.43679E-4,-0.512,1.835,8.094,-6.43035E-3,0.023,0.102
24.400,2.52529E+1,2.31625E-4,-0.140,2.707,4.629,-1.75553E-3,0.034,0.058
24.500,2.53132E+1,2.31717E-4,0.217,2.770,1.052,2.72205E-3,0.035,0.013
24.600,2.52981E+1,2.22331E-4,0.383,2.464,-0.205,4.81290E-3,0.031,-0.003
24.700,2.54061E+1,2.22883E-4,0.627,2.710,-1.422,7.87027E-3,0.034,-0.018
24.800,2.54898E+1,2.18927E-4,0.928,2.644,-4.704,1.16575E-2,0.033,-0.059
24.900,2.56647E+1,2.19479E-4,1.297,1.736,-7.898,1.62929E-2,0.022,-0.099
25.000,2.56991E+1,2.17822E-4,1.299,0.615,-7.295,1.63126E-2,0.008,-0.092
25.100,2.57049E+1,2.21963E-4,1.297,0.000,-3.905,1.62929E-2,0.000,-0.049
25.200,2.57509E+1,2.15982E-4,1.297,0.003,-1.012,1.62929E-2,3.287E-5,-0.013
25.300,2.56672E+1,2.26840E-4,1.299,0.005,0.013,1.63126E-2,6.575E-5,1.644E-4
25.400,2.57376E+1,2.22699E-4,1.299,0.003,0.489,1.63126E-2,3.288E-5,0.006
25.500,2.56455E+1,2.25920E-4,1.299,0.008,2.465,1.63126E-2,9.863E-5,0.031
25.600,2.56162E+1,2.34569E-4,1.299,0.293,5.952,1.63126E-2,0.004,0.075
