Frequency (Hz)	Level (dB)
4618.872070	-66.287300
4624.255371	-66.675400
4629.638672	-65.671906
4635.021973	-64.231232
4640.405273	-63.869629
4645.788574	-67.715965
4651.171875	-65.635277
4656.555176	-65.136559
4661.938477	-65.115379
4667.321777	-64.379318
4672.705078	-67.368309
4678.088379	-67.317200
4683.471680	-68.211494
4688.854980	-66.881737
4694.238281	-66.456207
4699.621582	-67.494354
4705.004883	-68.034462
4710.388184	-67.213295
4715.771484	-66.900543
4721.154785	-68.645409
4726.538086	-67.957748
4731.921387	-67.334663
4737.304688	-69.146439
4742.687988	-70.337326
4748.071289	-69.075394
4753.454590	-69.344513
4758.837891	-70.101044
4764.221191	-70.058517
4769.604492	-68.111092
4774.987793	-67.330299
4780.371094	-67.992531
4785.754395	-72.062950
4791.137695	-71.419296
4796.520996	-71.783012
4801.904297	-72.796829
4807.287598	-70.903725
4812.670898	-70.708382
4818.054199	-70.605568
4823.437500	-72.084816
4828.820801	-73.070374
4834.204102	-72.098305
4839.587402	-72.872421
4844.970703	-73.641861
4850.354004	-74.003777
4855.737305	-75.407219
4861.120605	-75.354698
4866.503906	-74.222969
4871.887207	-74.330063
4877.270508	-74.779892
4882.653809	-75.784882
4888.037109	-74.498817
4893.420410	-75.118500
4898.803711	-77.566414
4904.187012	-78.337715
4909.570312	-79.627785
4914.953613	-80.749260
4920.336914	-81.583199
4925.720215	-81.028084
4931.103516	-81.633987
4936.486816	-82.552452
4941.870117	-84.024994
4947.253418	-85.667900
4952.636719	-85.402817
4958.020020	-83.425423
4963.403320	-84.640511
4968.786621	-86.394188
4974.169922	-85.601578
4979.553223	-85.270309
4984.936523	-84.923927
4990.319824	-86.018372
4995.703125	-83.925621
5001.086426	-81.240395
5006.469727	-82.835922
5011.853027	-81.747543
5017.236328	-80.219147
5022.619629	-80.141525
5028.002930	-79.858002
5033.386230	-79.145012
5038.769531	-79.491280
5044.152832	-77.679085
5049.536133	-76.032074
5054.919434	-77.415749
5060.302734	-77.139229
5065.686035	-77.678368
5071.069336	-76.279243
5076.452637	-77.182938
5081.835938	-77.490494
5087.219238	-75.601440
5092.602539	-75.051964
5097.985840	-74.438499
5103.369141	-72.915398
5108.752441	-73.625381
5114.135742	-74.287941
5119.519043	-75.016602
5124.902344	-74.960854
5130.285645	-73.987549
5135.668945	-73.420059
5141.052246	-74.493492
5146.435547	-75.054337
5151.818848	-72.474884
5157.202148	-71.591080
5162.585449	-73.398972
5167.968750	-75.399101
5173.352051	-72.668449
5178.735352	-73.284889
5184.118652	-72.741982
5189.501953	-74.224602
5194.885254	-73.465927
5200.268555	-72.355682
5205.651855	-74.089355
5211.035156	-72.539322
5216.418457	-72.727242
5221.801758	-74.023758
5227.185059	-71.595688
5232.568359	-70.817574
5237.951660	-71.112679
5243.334961	-72.145981
5248.718262	-73.256615
5254.101562	-72.240822
5259.484863	-70.227173
5264.868164	-70.846786
5270.251465	-70.764351
5275.634766	-72.846329
5281.018066	-75.743294
5286.401367	-74.168007
5291.784668	-70.780922
5297.167969	-68.482635
5302.551270	-70.807625
5307.934570	-71.022087
5313.317871	-69.013489
5318.701172	-69.135002
5324.084473	-71.944199
5329.467773	-71.821297
5334.851074	-71.676971
5340.234375	-71.033257
5345.617676	-71.469284
5351.000977	-74.167259
5356.384277	-71.652664
5361.767578	-70.253174
5367.150879	-71.239357
5372.534180	-69.653946
5377.917480	-70.639030
5383.300781	-69.501572
5388.684082	-69.749176
5394.067383	-71.070992
5399.450684	-72.270363
5404.833984	-73.148697
