axial, perp, pos
19.4418,1.57277,-0.0811881
19.3815,1.63258,-0.0811684
19.415,1.49639,-0.0811684
19.4677,1.57921,-0.0811684
19.4627,1.61693,-0.0811881
19.4895,1.47523,-0.0831211
19.5481,1.59577,-0.0859615
19.5179,1.69515,-0.087579
19.374,1.6427,-0.0898079
19.2786,1.62798,-0.092313
19.0216,1.56909,-0.0949562
18.9538,1.61693,-0.0964355
18.9496,1.62798,-0.0963961
18.9965,1.58197,-0.0963961
18.9647,1.49271,-0.0964355
18.8709,1.59669,-0.0979149
18.9011,1.53872,-0.0990392
18.8057,1.51296,-0.0991181
18.7136,1.50284,-0.0991576
18.7479,1.45223,-0.0992365
18.6885,1.58841,-0.0992365
18.7161,1.47339,-0.0992168
18.7069,1.53596,-0.0992168
18.6968,1.55344,-0.099197
18.7755,1.524,-0.099197
18.7847,1.55804,-0.099197
18.6968,1.46511,-0.099197
18.7379,1.5194,-0.099197
18.8048,1.5056,-0.099197
18.7931,1.5148,-0.099197
18.7496,1.53964,-0.099197
18.7446,1.55344,-0.099197
18.6943,1.47155,-0.099197
18.7797,1.55528,-0.099197
18.85,1.55068,-0.099197
18.7395,1.58749,-0.099197
18.7035,1.57737,-0.099197
18.7538,1.52584,-0.099197
18.7697,1.61877,-0.099197
18.7253,1.58565,-0.099197
18.7337,1.54056,-0.099197
18.7713,1.54332,-0.099197
18.7973,1.49547,-0.099197
18.773,1.60773,-0.099197
18.7404,1.60221,-0.099197
18.7923,1.54332,-0.099197
18.7236,1.61785,-0.099197
18.7027,1.49455,-0.099197
18.7613,1.56817,-0.099197
18.7739,1.56909,-0.099197
18.799,1.69699,-0.099197
18.6935,1.57277,-0.099197
18.7253,1.56541,-0.099197
18.7755,1.64362,-0.099197
