Frequency (Hz)	Level (dB)
1325.637817	-75.065727
1326.983643	-70.686279
1328.329468	-68.584595
1329.675293	-66.407890
1331.021118	-66.284592
1332.366943	-70.365631
1333.712769	-68.092239
1335.058594	-64.902023
1336.404419	-68.731461
1337.750244	-70.955948
1339.096069	-71.769173
1340.441895	-70.592453
1341.787720	-68.683258
1343.133545	-63.928398
1344.479370	-64.900490
1345.825195	-68.896683
1347.171021	-69.514229
1348.516846	-69.195808
1349.862671	-65.342873
1351.208496	-63.810444
1352.554321	-64.598366
1353.900146	-64.923012
1355.245972	-67.059799
1356.591797	-68.973244
1357.937622	-65.463989
1359.283447	-62.154728
1360.629272	-65.491470
1361.975098	-69.765114
1363.320923	-68.472801
1364.666748	-66.086044
1366.012573	-64.302505
1367.358398	-67.525284
1368.704224	-70.838028
1370.050049	-69.586739
1371.395874	-66.761513
1372.741699	-64.302528
1374.087524	-61.686230
1375.433350	-65.483002
1376.779175	-65.700790
1378.125000	-61.631371
1379.470825	-65.028854
1380.816650	-67.946556
1382.162476	-64.694946
1383.508301	-63.351856
1384.854126	-68.893196
1386.199951	-63.407616
1387.545776	-60.836712
1388.891602	-64.405060
1390.237427	-69.779060
1391.583252	-70.978806
1392.929077	-68.801170
1394.274902	-66.795845
1395.620728	-66.744865
1396.966553	-68.488632
1398.312378	-66.002502
1399.658203	-63.162685
1401.004028	-65.279472
1402.349854	-68.379921
1403.695679	-71.022675
1405.041504	-66.386162
1406.387329	-66.430664
1407.733154	-69.856133
1409.078979	-68.555145
1410.424805	-65.943497
1411.770630	-63.715122
1413.116455	-63.654392
1414.462280	-64.651062
1415.808105	-64.436134
1417.153931	-62.754066
1418.499756	-64.135048
1419.845581	-69.239845
1421.191406	-66.551575
1422.537231	-65.973511
1423.883057	-65.745308
1425.228882	-66.621162
1426.574707	-67.211830
1427.920532	-66.917534
1429.266357	-64.720985
1430.612183	-64.834991
1431.958008	-62.459812
1433.303833	-65.697632
1434.649658	-69.002365
1435.995483	-65.023529
1437.341309	-65.578865
1438.687134	-65.978951
1440.032959	-65.885406
1441.378784	-64.773109
1442.724609	-66.189842
1444.070435	-68.143478
1445.416260	-69.159187
1446.762085	-66.634781
1448.107910	-69.400848
1449.453735	-70.530815
1450.799561	-66.021729
1452.145386	-66.208862
1453.491211	-63.480644
1454.837036	-62.865738
1456.182861	-63.378319
1457.528687	-64.913078
1458.874512	-66.343048
1460.220337	-67.093719
1461.566162	-67.004562
1462.911987	-67.611252
1464.257812	-64.829742
1465.603638	-65.996803
1466.949463	-66.352821
1468.295288	-68.122383
1469.641113	-65.596848
1470.986938	-68.671783
1472.332764	-69.165543
1473.678589	-65.362137
1475.024414	-64.692696
1476.370239	-65.646988
1477.716064	-68.759972
1479.061890	-66.719131
1480.407715	-67.560646
1481.753540	-68.470657
1483.099365	-68.816391
1484.445190	-69.195946
1485.791016	-69.511536
1487.136841	-70.563789
1488.482666	-67.696342
1489.828491	-67.179123
1491.174316	-69.509506
1492.520142	-68.058800
1493.865967	-64.686485
1495.211792	-64.754448
1496.557617	-67.542412
1497.903442	-64.683281
1499.249268	-66.530350
1500.595093	-65.092812
1501.940918	-66.386841
1503.286743	-67.446724
1504.632568	-62.722393
1505.978394	-64.119125
1507.324219	-67.376312
1508.670044	-70.180412
1510.015869	-70.395691
1511.361694	-65.222382
1512.707520	-64.400703
1514.053345	-66.995346
1515.399170	-66.685356
1516.744995	-67.119682
1518.090820	-68.958923
1519.436646	-70.049149
1520.782471	-72.394043
1522.128296	-71.149391
1523.474121	-62.768406
1524.819946	-62.546547
1526.165771	-65.771423
1527.511597	-64.534538
1528.857422	-66.744499
1530.203247	-72.902878
1531.549072	-70.904236
1532.894897	-66.560799
1534.240723	-68.211273
1535.586548	-65.071739
1536.932373	-65.144402
1538.278198	-69.762199
1539.624023	-68.570930
1540.969849	-66.074944
1542.315674	-64.840614
1543.661499	-68.229416
1545.007324	-65.109581
1546.353149	-63.169586
1547.698975	-67.603287
1549.044800	-69.563324
1550.390625	-69.565155
1551.736450	-69.549026
1553.082275	-71.422112
1554.428101	-68.271881
1555.773926	-64.204689
1557.119751	-64.071999
1558.465576	-65.968147
1559.811401	-66.897995
1561.157227	-67.385437
1562.503052	-66.145210
1563.848877	-68.418251
1565.194702	-67.789001
1566.540527	-64.613579
1567.886353	-62.577911
1569.232178	-65.248795
1570.578003	-72.133247
1571.923828	-73.507881
1573.269653	-68.962288
1574.615479	-65.907425
1575.961304	-68.573380
1577.307129	-72.399780
1578.652954	-71.735229
1579.998779	-69.539040
1581.344604	-68.466698
1582.690430	-72.021049
1584.036255	-70.313789
1585.382080	-66.286606
1586.727905	-67.264336
1588.073730	-70.723038
1589.419556	-67.445107
1590.765381	-67.093933
1592.111206	-65.809883
1593.457031	-67.128426
1594.802856	-66.562233
1596.148682	-63.410023
1597.494507	-65.148399
1598.840332	-65.739777
1600.186157	-66.746925
1601.531982	-67.238739
1602.877808	-68.804695
1604.223633	-68.258774
1605.569458	-67.493378
1606.915283	-64.106842
1608.261108	-65.088539
1609.606934	-64.161293
1610.952759	-66.164429
1612.298584	-69.696014
1613.644409	-68.419304
1614.990234	-68.320633
1616.336060	-69.216881
1617.681885	-68.570732
1619.027710	-71.795898
1620.373535	-72.638451
